Product Name,Ticker,Style,Colorway,Retail Price,Release Date
Jordan 1 Retro High Pollen,JB-JO1RHPBKGD,555088-701,POLLEN/BLACK-WHITE,$170,08/14/2021
Nike Dunk Low Retro White Black (2021),NK-NIDLRWBWBK,DD1391-100,WHITE/BLACK,$110,03/10/2021
Nike Dunk Low Undefeated 5 On It Dunk vs. AF1,NK-NIDLUDVRP,DH6508-400,SIGNAL BLUE/WHITE-NIGHT PURPLE,$120,08/06/2021
Nike Dunk Low SE Sail Multi-Camo,NK-NIDLSMSV,DH0957-100,SAIL/VINTAGE GREEN-TOTAL ORANGE-WHITE,$110,08/11/2021
Jordan 1 High OG Seafoam (W),JB-JO1HOSSH,CD0461-002,SEAFOAM/HEALING ORANGE-WHITE,$170,08/12/2021
Jordan 1 Low Fragment x Travis Scott,JB-JO1LFDXWB,DM7866-140,WHITE/BLACK-ROYAL- SAIL,$150,08/13/2021
Nike Dunk High 1985 Red Acid Wash,NK-NIDH1AWRB,DD9404-600,RED/BROWN-BUTTER,$130,08/19/2021
Nike Air Force 1 Low SP Undefeated 5 On It Dunk vs. AF1,NK-NIAF1LUWN,DM8461-001,GREY FOG/ IMPERIAL BLUE,$120,08/06/2021
Jordan 4 Retro Lightning (2021),JB-JO4RLTW,CT8527-700,TOUR YELLOW/WHITE-DARK BLUE GREY,$220,08/28/2021
Nike Dunk Low Purple Pulse (W),NK-NIDLPPPPW,DM9467-500,PURPLE PULSE/PURPLE PULSE-WHITE,$110,08/18/2021
